BOROUGH,BUILDING CLASS CATEGORY,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,SALE DATE
Bronx,02  TWO FAMILY DWELLINGS,2,0,2000,2583,1899,280000,3/4/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2802,2984,1901,445000,1/12/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1680,2114,1901,415000,12/18/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1780,1642,1910,499999,11/9/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1780,1642,1910,111000,3/26/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1835,2548,1901,396000,6/29/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1494,2964,1930,480000,12/30/2015
Bronx,02  TWO FAMILY DWELLINGS,2,1,3062,2244,1931,290000,3/20/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1791,2342,1910,222500,12/23/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,4241,3198,1910,466000,12/1/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,6860,2805,1910,1800000,7/30/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,3000,2664,1899,302925,7/22/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,3000,2664,1899,522610,5/11/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2500,1338,1910,335000,9/28/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2500,1338,1910,162000,5/28/2015
Bronx,02  TWO FAMILY DWELLINGS,2,1,2133,2772,1930,600000,2/2/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2500,2520,1920,525000,6/1/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2500,4040,1920,300000,5/8/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2750,2742,1915,290000,11/17/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2500,3132,1915,179000,1/5/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2500,2466,1901,39000,2/24/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2525,2384,1901,345438,4/16/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2342,2048,1920,480000,6/29/2015
